SOC,V,I,T
54.11766434,353.85,2.115000084,9
54.11766434,353.625,-0.450000018,9
54.11766434,353.4772727,-1.336363695,9
54.11766434,353.25,-5.700000286,9
54.11766434,352.9090909,-9.790909808,9
54.11766434,352.5375,-15.33000059,9
54.11766434,352.3392857,-17.15357188,9
54.11766434,352.25625,-17.74500041,9
54.11766434,352.26875,-17.53500047,9
54.11766434,352.28125,-17.32500052,9
54.11766434,352.29375,-17.11500058,9
54.11766434,352.30625,-16.90500064,9
54.11766434,352.31875,-16.69500069,9
54.11766434,352.33125,-16.48500075,9
54.11766434,352.34375,-16.27500081,9
54.11766434,352.35625,-16.06500086,9
54.11766434,352.36875,-15.85500092,9
54.11766434,352.3627451,-15.91176571,9
54.11766434,352.3382353,-16.23529524,9
54.11766434,352.3137255,-16.55882476,9
54.11766434,352.2892157,-16.88235429,9
54.11766434,352.2647059,-17.20588381,9
54.11766434,352.25,-17.40000153,9
54.11766434,351.2,-29.8500019,9
54.11766434,350.25,-41.64000244,9
54.11766434,349.0909091,-57.19091173,9
54.11766434,348.225,-68.47500458,9
54.11766434,347.875,-72.61500321,9
54.11766434,347.9772727,-70.22727273,9
54.11766434,348.125,-68.49000092,9
54.11766434,348.0113636,-67.43182235,9
54.11766434,349.8875,-43.06500225,9
54.11766434,351.125,-27.00000191,9
54.11766434,351.3181818,-25.11818313,9
54.11766434,350.75,-33.30000305,9
54.11766434,350.5,-33.75,9
54.11766434,350.625,-34.80000305,9
54.11766434,354.4886364,16.47272734,9
54.11766434,354.9875,21.60000038,9
54.11766434,355.1125,20.79000072,9
54.11766434,354.6136364,14.07272772,9
54.11766434,353.9,4.20000019,9
54.11766434,353.9318182,5.481818568,9
54.11766434,354.6125,13.78500094,9
54.11766434,355.4,21.42000141,9
54.11766434,352.9204545,-11.6318186,9
54.11766434,350.475,-42.00000153,9
54.11766434,350.0113636,-46.77272797,9
54.11766434,351.5,-27.5250001,9
54.11766434,352.0625,-19.72500086,9
54.11766434,350.5681818,-38.5363662,9
54.11766434,349.35,-53.88000259,9
54.11766434,348.75,-60.45000076,9
54.11766434,349.125,-54.75000381,9
54.11766434,350.9,-32.08500023,9
54.11766434,351.7613636,-21.24545511,9
54.11766434,352.8,-7.290000344,9
54.11766434,351.2727273,-28.29545594,9
54.11766434,350.2375,-40.32000084,9
54.11766434,350.1125,-41.58000145,9
54.11766434,350.375,-38.10000064,9
54.11766434,354.125,12.90000057,9
54.11766434,355.5,28.20000076,9
54.11766434,355.71875,30.56250143,9
54.11766434,355.8625,28.87500153,9
54.11766434,357.9,56.4600029,9
54.11766434,358.125,56.48182123,9
54.11766434,356.625,34.92000122,9
54.11766434,355.7045455,24.90000048,9
54.11766434,354.8636364,12.40909117,9
54.11766434,354.5,6.210000133,9
54.11766434,354.125,2.550000042,9
54.11766434,353.875,0.150000006,9
54.11766434,353.8229167,-0.600000024,8.791666667
54.11766434,353.7575,-0.627000027,8.5
54.11766434,353.7825,-0.717000036,8.5
54.11766434,353.8075,-0.807000046,8.5
54.11766434,353.8325,-0.897000056,8.5
54.11766434,353.8575,-0.987000065,8.5
54.11766434,353.875,-1.050000072,8.5
54.11766434,353.875,-1.050000072,8.5
54.11766434,353.875,-1.050000072,8.5
54.11766434,353.875,-1.050000072,8.5
54.11766434,353.5,-4.920000076,8.5
54.11766434,353.3409091,-8.018181887,8.5
54.11766434,352.5625,-17.70000038,8.5
54.11766434,352.2125,-20.43000033,8.5
54.11766434,354.1136364,3.477272857,8.5
54.11766434,354,2.25,8.5
54.11766434,353,-12.75000095,8.5
54.11766434,351.8636364,-25.97727385,8.5
54.11766434,350.7375,-39.45000286,8.5
54.11766434,349.5,-56.19000168,8.5
54.11766434,349.975,-48.54000091,8.5
54.11766434,349.825,-50.0400032,8.5
54.11766434,348.1136364,-72.16364184,8.5
54.11766434,348.2875,-68.7600029,8.5
54.11766434,348.7125,-62.85000153,8.5
54.11766434,349.7840909,-47.03181874,8.5
54.11766434,351.425,-24.30000057,8.5
54.11766434,351.3068182,-26.45454589,8.5
54.11766434,350.625,-35.85000038,8.5
54.11766434,350.625,-35.70000076,8.5
54.11766434,352.15,-14.40000096,8.5
54.11766434,353.25,-1.377272649,8.5
54.11766434,353.8625,6.270000267,8.5
54.11766434,352.2,-15.36000023,8.5
54.11766434,349.5454545,-50.03181977,8.5
54.11766434,349.325,-51.87000351,8.5
54.11766434,350.8977273,-30.77727474,8.5
54.11766434,352.125,-14.7600007,8.5
54.11766434,352.2125,-14.07000017,8.5
54.11766434,353,-3,8.5
54.11766434,352.125,-16.5,8.5
54.11766434,353.375,0.600000024,8.5
54.11766434,353.375,-0.218181827,8.5
54.11766434,352.8125,-8.940000516,8.5
54.11766434,353.3125,-0.990000057,8.5
54.11766434,355.1136364,21.10909184,8.5
54.11766434,354.2,8.280000304,8.5
54.11766434,352.7840909,-11.26363689,8.5
54.11766434,351.5875,-26.50500049,8.5
54.11766434,350.9,-33.54000225,8.5
54.11766434,351.4659091,-24.20454754,8.5
54.11766434,351.725,-21.21000061,8.5
54.11766434,351.625,-23.82272789,8.5
54.11766434,353.4375,0,8.5
54.11766434,355.5,26.25000095,8.5
54.11766434,356.0340909,31.33636509,8.5
54.11766434,356.275,33.96000137,8.5
54.11766434,355.9431818,29.35909132,8.5
54.11766434,355.55,23.58000126,8.5
54.11766434,355.4125,21.67500153,8.5
54.11766434,355.5,21.15000153,8.5
54.11766434,355.2727273,19.03636472,8.5
54.11766434,355,14.79000091,8.5
54.11766434,354.8863636,12.47727342,8.5
54.11766434,354.325,5.220000341,8.5
54.11766434,353.875,-0.465000019,8.5
54.11766434,353.8625,-0.630000025,8.45
54.11766434,353.7525,-0.894000036,8
54.11766434,353.7775,-0.834000033,8
54.11766434,353.8025,-0.774000031,8
54.11766434,353.8275,-0.714000029,8
54.11766434,353.8525,-0.654000026,8
54.11766434,353.872549,-0.61176473,8
54.11766434,353.8480392,-0.729411794,8
54.11766434,353.8235294,-0.847058857,8
54.11766434,353.7990196,-0.964705921,8
54.11766434,353.7745098,-1.082352984,8
54.11766434,353.75,-1.200000048,8
54.11766434,353.125,-9.900000572,8
54.11766434,353.125,-9.900000572,8
54.11766434,351.625,-28.05000114,8
54.11766434,351.9875,-24.13500042,8
54.11766434,352.125,-22.35000038,8
54.11766434,353.25,-6,8
54.11766434,354.5,8.700000763,8
54.11766434,352.25,-20.25,8
54.11766434,348.6875,-66.37500496,8
54.11766434,348.125,-73.3500061,8
54.11766434,347.25,-83.55000305,8
54.11766434,346.375,-93.6000061,8
54.11766434,348.5,-63.45000076,8
54.11766434,351.375,-26.10000038,8
54.11766434,352.5,-10.20000076,8
54.11766434,354.75,1.71E+01,8
54.11766434,353.5,-0.600000024,8
54.11766434,353.125,-6.150000095,8
54.11766434,352.625,-11.70000076,8
54.11766434,353.375,0,8
54.11766434,353.75,1.350000024,8
54.11766434,353.375,-3.300000191,8
54.11766434,353.875,3.450000048,8
54.11766434,353.5,-0.150000006,8
54.11766434,353.375,-1.800000072,8
54.11766434,353.25,-4.800000191,8
54.11766434,354.3125,8.775000095,8
54.11766434,354.4375,10.27500015,8
54.11766434,353.5,-1.800000072,8
54.11766434,353.125,-6.750000477,8
53.77452564,351.25,-33,8
53.72550583,351.125,-32.40000153,8
53.72550583,355.375,22.5,8
53.72550583,356.375,35.25,8
53.72550583,357.875,53.10000229,8
53.72550583,355.25,17.70000076,8
53.72550583,356.625,33,8
53.72550583,355,11.85000038,8
53.72550583,349.875,-52.05000305,8
53.72550583,349.625,-53.85000229,8
53.72550583,346.625,-93.30000305,8
53.72550583,346.25,-96.30000305,8
53.72550583,346.875,-84.45000458,8
53.72550583,349.5,-48.45000076,8
53.72550583,351.75,-22.20000076,8
53.72550583,352.5,-12,8
53.72550583,351.975,-17.88000068,8
53.72550583,352.375,-12.60000038,8
53.72550583,352.5,-12.60000038,8
53.72550583,351.975,-18.3,8
53.72550583,351.75,-21,8
53.72550583,351.75,-21.60000038,8
53.72550583,353.25,-1.800000072,8
53.72550583,353.25,-1.800000072,8
